idacidente;longitude;latitude;data;hora;log1;log2;predial1;regiao;tipo_acid;tipo_veic;dia_sem;periododia;sit_vitima;sexo;idade;fx_et;fatais
730245;-51,21961626;-30,03966611;10/05/2023;19:30:00;R GEN LIMA E SILVA;;832;CENTRO;COLISÃO;MOTOCICLETA;QUARTA-FEIRA;NOITE;CONDUTOR;MASCULINO;32;26 A 35;0
692630;-51,23313953;-30,03992293;15/02/2022;19:15:00;AV EDVALDO PEREIRA PAIVA;;2;SUL;ATROPELAMENTO;;TERÇA-FEIRA;NOITE;PEDESTRE;MASCULINO;;NI;0
730050;-51,16574455;-30,0403312;09/05/2023;12:00:00;AV PROTASIO ALVES;;4614;LESTE;NAO CADASTRADO;MOTOCICLETA;TERÇA-FEIRA;TARDE;CONDUTOR;MASCULINO;;NI;0
646795;-51,151835;-30,020495;26/04/2018;19:10:00;AV DO FORTE;;1122;NORTE;ATROPELAMENTO;;QUINTA-FEIRA;NOITE;PEDESTRE;MASCULINO;79;60 +;1
685713;-51,18731111;-30,01396243;02/08/2021;07:30:00;R DOM PEDRO II;;800;NORTE;ABALROAMENTO;MOTOCICLETA;SEGUNDA-FEIRA;MANHÃ;CONDUTOR;MASCULINO;27;26 A 35;0
690087;-51,17635095;-30,03931753;05/12/2021;15:45:00;AV PROTASIO ALVES;;3434;LESTE;ABALROAMENTO;MOTOCICLETA;DOMINGO;TARDE;CONDUTOR;MASCULINO;21;18 A 25;0
735762;-51,23182244;-30,04801247;17/09/2023;21:00:00;AV IPIRANGA;AV PRAIA DE BELAS;;CENTRO;COLISÃO;MOTOCICLETA;DOMINGO;NOITE;CONDUTOR;MASCULINO;55;46 A 59;0
684849;-51,19015656;-29,98693906;25/07/2021;18:30:00;AV JOSE ALOISIO FILHO;AV AMYNTHAS JACQUES DE MORAES;145;NORTE;ABALROAMENTO;MOTOCICLETA;DOMINGO;NOITE;CONDUTOR;MASCULINO;32;26 A 35;0
644034;-51,161836;-30,01277;18/01/2018;20:40:00;R ANTONIO JOAQUIM MESQUITA;;195;NORTE;ATROPELAMENTO;;QUINTA-FEIRA;NOITE;PEDESTRE;FEMININO;49;46 A 59;0
680353;-51,14632038;-30,02727761;27/03/2021;20:35:00;R DOM LUIZ GUANELLA;;420;NORTE;ABALROAMENTO;BICICLETA;SÁBADO;NOITE;CONDUTOR;MASCULINO;43;36 A 45;0
678820;-51,19788667;-29,99797472;13/01/2021;16:05:00;AV FARRAPOS;;4000;NORTE;QUEDA;;QUARTA-FEIRA;TARDE;PEDESTRE;FEMININO;33;26 A 35;0
653739;-51,196486;-30,054615;01/11/2018;08:00:00;R EVARISTO DA VEIGA;;226;LESTE;ABALROAMENTO;MOTOCICLETA;QUINTA-FEIRA;MANHÃ;OCUPANTE;MASCULINO;;NI;0
685898;-51,24402283;-30,08167368;20/08/2021;23:40:00;AV PINHEIRO BORDA;;635;SUL;CHOQUE;AUTOMÓVEL;SEXTA-FEIRA;NOITE;CONDUTOR;FEMININO;53;46 A 59;0
700171;-51,22173729;-30,02965579;08/09/2022;16:15:00;AV INDEPENDENCIA;R CEL VICENTE;;CENTRO;ABALROAMENTO;AUTOMÓVEL;QUINTA-FEIRA;TARDE;OCUPANTE;FEMININO;25;18 A 25;0
697798;-51,21858979;-30,11104181;10/07/2022;13:30:00;AV VICENTE MONTEGGIA;;1957;SUL;NAO CADASTRADO;MOTOCICLETA;DOMINGO;TARDE;CONDUTOR;MASCULINO;24;18 A 25;0
682102;-51,17336391;-30,11627137;15/05/2021;16:45:00;ESTR AFONSO LOURENCO MARIANTE;;387;LESTE;ABALROAMENTO;MOTOCICLETA;SÁBADO;TARDE;CONDUTOR;MASCULINO;28;26 A 35;0
692820;-51,1886233;-30,15984283;23/02/2022;11:50:00;AV JUCA BATISTA;;4597;SUL;COLISÃO;MOTOCICLETA;QUARTA-FEIRA;TARDE;CONDUTOR;MASCULINO;24;18 A 25;0
691637;-51,19736988;-30,00627671;21/01/2022;09:45:00;AV BRASIL;;1000;NORTE;ABALROAMENTO;AUTOMÓVEL;SEXTA-FEIRA;MANHÃ;CONDUTOR;FEMININO;53;46 A 59;0
652035;-51,220304;-30,051077;06/09/2018;16:45:00;R GONCALVES DIAS;R GEN CALDWELL;0;SUL;ABALROAMENTO;AUTOMÓVEL;QUINTA-FEIRA;TARDE;OCUPANTE;FEMININO;;NI;0
645386;-51,151053;-30,041545;03/03/2018;19:50:00;AV PROTASIO ALVES;;6047;LESTE;ATROPELAMENTO;;SÁBADO;NOITE;PEDESTRE;FEMININO;71;60 +;0
661458;-51,1372773;-30,18637951;20/06/2019;06:30:00;AV EDGAR PIRES DE CASTRO;;6989;SUL;ABALROAMENTO;AUTOMÓVEL;QUINTA-FEIRA;MANHÃ;CONDUTOR;MASCULINO;24;18 A 25;0
701937;-51,23162719;-30,09860775;22/10/2022;19:45:00;AV CAVALHADA;;2473;SUL;COLISÃO;MOTOCICLETA;SÁBADO;NOITE;CONDUTOR;MASCULINO;;NI;0
646622;-51,149744;-30,041709;16/04/2018;12:15:00;AV PROTASIO ALVES;;6220;LESTE;ABALROAMENTO;MOTOCICLETA;SEGUNDA-FEIRA;TARDE;CONDUTOR;MASCULINO;30;26 A 35;0
736217;-51,19008512;-30,00194337;30/09/2023;01:53:00;AV SERTORIO;R SOUZA REIS;1541;NORTE;ABALROAMENTO;CAMINHÃO;SÁBADO;MADRUGADA;CONDUTOR;MASCULINO;64;60 +;0
691730;-51,10442152;-30,00884428;25/01/2022;20:42:00;R RUDI SCHALY;;460;NORTE;ABALROAMENTO;AUTOMÓVEL;TERÇA-FEIRA;NOITE;CONDUTOR;FEMININO;38;36 A 45;0
678379;-51,18114752;-30,15548217;10/01/2021;20:20:00;AV EDGAR PIRES DE CASTRO;;1074;SUL;COLISÃO;AUTOMÓVEL;DOMINGO;NOITE;CONDUTOR;FEMININO;40;36 A 45;0
685701;-51,12282744;-29,98939846;14/08/2021;19:10:00;R SENHOR DO BOM FIM;;177;NORTE;COLISÃO;CARROÇA;SÁBADO;NOITE;OCUPANTE;FEMININO;22;18 A 25;0
701412;-51,11561109;-29,98193602;13/10/2022;07:25:00;AV ASSIS BRASIL;;8450;NORTE;NAO CADASTRADO;MOTOCICLETA;QUINTA-FEIRA;MANHÃ;CONDUTOR;MASCULINO;28;26 A 35;0
703313;-51,21977957;-30,04316712;25/11/2022;17:20:00;R JOSE DO PATROCINIO;;1050;CENTRO;ABALROAMENTO;MOTOCICLETA;SEXTA-FEIRA;TARDE;CONDUTOR;MASCULINO;43;36 A 45;0
703648;-51,19335238;-30,02456595;02/12/2022;01:40:00;R EUDORO BERLINK;;445;LESTE;CHOQUE;AUTOMÓVEL;SEXTA-FEIRA;MADRUGADA;OCUPANTE;MASCULINO;;NI;0
716385;-51,22335395;-30,08092196;08/02/2023;01:45:00;R CRUZEIRO DO SUL;;46;SUL;ABALROAMENTO;AUTOMÓVEL;QUARTA-FEIRA;MADRUGADA;CONDUTOR;MASCULINO;27;26 A 35;0
683416;-51,24717451;-30,08420064;17/06/2021;07:30:00;AV DIARIO DE NOTICIAS;;300;SUL;CHOQUE;AUTOMÓVEL;QUINTA-FEIRA;MANHÃ;CONDUTOR;FEMININO;39;36 A 45;0
727461;-51,20614194;-30,03239318;12/03/2023;20:30:00;R VASCO DA GAMA;;585;LESTE;NAO CADASTRADO;AUTOMÓVEL;DOMINGO;NOITE;OCUPANTE;FEMININO;;NI;0
649346;-51,128293;-29,990595;03/07/2018;19:15:00;AV MINAS GERAIS;;355;NORTE;ABALROAMENTO;AUTOMÓVEL;TERÇA-FEIRA;NOITE;OCUPANTE;FEMININO;6;0 A 10;0
702537;-51,15123702;-30,02389363;07/11/2022;18:30:00;AV FORTE;TRAV GERMANO STEIGLEDER SOBRINHO;1500;NORTE;ABALROAMENTO;AUTOMÓVEL;SEGUNDA-FEIRA;NOITE;OCUPANTE;MASCULINO;77;60 +;0
679241;-51,15357157;-30,06591946;08/02/2021;06:40:00;R NERO JOSE DA SILVA FILHO;;56;LESTE;CHOQUE;AUTOMÓVEL;SEGUNDA-FEIRA;MANHÃ;CONDUTOR;MASCULINO;38;36 A 45;0
733920;-51,15112047;-30,03316227;21/07/2023;09:40:00;AV SATURNINO DE BRITO;;1027;NORTE;ATROPELAMENTO;AUTOMÓVEL;SEXTA-FEIRA;MANHÃ;PEDESTRE;MASCULINO;35;26 A 35;0
648432;-51,198283;-30,039846;05/06/2018;19:00:00;AV PROTASIO ALVES;;1025;LESTE;ATROPELAMENTO;;TERÇA-FEIRA;NOITE;PEDESTRE;FEMININO;56;46 A 59;0
674695;-51,16010606;-30,16049471;14/08/2020;20:00:00;AV EDGAR PIRES DE CASTRO;R SCHNEIDER;3295;SUL;ABALROAMENTO;MOTOCICLETA;SEXTA-FEIRA;NOITE;CONDUTOR;MASCULINO;;NI;0
